,filename,cropfile,testcenter_x,testcenter_y,,,,
65,2.3.22_SPP_Fov6_1_NDTiffStack.tif_last.png,file_65,-3,-10,,,,
66,2.3.22_SPP_Fov6_1_NDTiffStack.tif_last.png,file_66,-5,-8,,,,
67,2.3.22_SPP_Fov6_1_NDTiffStack.tif_mid.png,file_67,-6,-7,,,,
68,2.3.22_SPP_Fov6_1_NDTiffStack.tif_mid.png,file_68,-5,-9,,,,
69,2.3.22_SPP_Fov6_1_NDTiffStack.tif_mid.png,file_69,-7,-7,,,,
70,2.3.22_SPP_Fov6_1_NDTiffStack.tif_mid.png,file_70,-7,-8,,,,
71,2.3.22_SPP_Fov7_1_NDTiffStack.tif_1.png,file_71,-4,-1,,,,
72,2.3.22_SPP_Fov7_1_NDTiffStack.tif_1.png,file_72,-3,-1,,,,
73,2.3.22_SPP_Fov7_1_NDTiffStack.tif_1.png,file_73,-3,-1,,,,
74,2.3.22_SPP_Fov7_1_NDTiffStack.tif_last.png,file_74,2,-17,,,,
75,2.3.22_SPP_Fov7_1_NDTiffStack.tif_last.png,file_75,-1,-11,,,,
76,2.3.22_SPP_Fov7_1_NDTiffStack.tif_last.png,file_76,-3,-11,,,,
77,2.3.22_SPP_Fov7_1_NDTiffStack.tif_last.png,file_77,0,-13,,,,
78,2.3.22_SPP_Fov7_1_NDTiffStack.tif_mid.png,file_78,-5,-7,,,,
79,2.3.22_SPP_Fov7_1_NDTiffStack.tif_mid.png,file_79,-7,-7,,,,
80,2.3.22_SPP_Fov7_1_NDTiffStack.tif_mid.png,file_80,-6,-7,,,,
81,2.3.22_SPP_Fov8_1_NDTiffStack.tif_1.png,file_81,-5,-3,,,,
82,2.3.22_SPP_Fov8_1_NDTiffStack.tif_1.png,file_82,-3,-2,,,,
83,2.3.22_SPP_Fov8_1_NDTiffStack.tif_1.png,file_83,-3,-3,,,,
84,2.3.22_SPP_Fov8_1_NDTiffStack.tif_last.png,file_84,1,-15,,,,
85,2.3.22_SPP_Fov8_1_NDTiffStack.tif_last.png,file_85,-1,-14,,,,
86,2.3.22_SPP_Fov8_1_NDTiffStack.tif_last.png,file_86,-3,-12,,,,
87,2.3.22_SPP_Fov8_1_NDTiffStack.tif_last.png,file_87,-2,-13,,,,
88,2.3.22_SPP_Fov8_1_NDTiffStack.tif_mid.png,file_88,-6,-10,,,,
89,2.3.22_SPP_Fov8_1_NDTiffStack.tif_mid.png,file_89,-9,-8,,,,
90,2.3.22_SPP_Fov8_1_NDTiffStack.tif_mid.png,file_90,-8,-8,,,,
91,2.3.22_SPP_Fov9_1_NDTiffStack.tif_1.png,file_91,-3,-5,,,,
92,2.3.22_SPP_Fov9_1_NDTiffStack.tif_1.png,file_92,-3,-5,,,,
